system:index,total_evaporation_sum
198309,-0.0778873747450452
198310,-0.09976344165363717
198311,-0.09916285607825999
198312,-0.12127900441886028
198401,-0.11925675094887825
198402,-0.10873522505600627
198403,-0.10022050275703853
198404,-0.07209516522604914
198405,-0.053549136470595074
198406,-0.03805690306845615
198407,-0.03874415276505909
198408,-0.059671516130204404
198409,-0.06824326663563567
198410,-0.09378257053271001
198411,-0.12100022728863906
198412,-0.13014639556072344
198501,-0.10838246856328086
198502,-0.09248638756242784
198503,-0.0891071266706472
198504,-0.0681708237013703
198505,-0.054350488824549625
198506,-0.039705892955096286
198507,-0.04775322924026391
198508,-0.05646401684228513
198509,-0.07881965752444714
198510,-0.10515460692960321
198511,-0.10990045919866663
198512,-0.13869427782744775
198601,-0.13245640678317674
198602,-0.10565271630617502
198603,-0.09371429626603511
198604,-0.06583228961908175
198605,-0.04554630171680739
198606,-0.033545217767937355
198607,-0.04094404847999657
198608,-0.0575565100197902
198609,-0.07149317372136849
198610,-0.09549117653156085
198611,-0.09862866894808503
198612,-0.10419324727577822
198701,-0.12412521184205183
198702,-0.09194054433523437
198703,-0.09088488916506543
198704,-0.06561197651827917
198705,-0.05180002474687815
198706,-0.037906418559144624
198707,-0.03931256642016813
198708,-0.05395031492363041
198709,-0.08047981298202461
198710,-0.08615784328089898
198711,-0.10908478003940585
198712,-0.11056573704312445
198801,-0.12838273836216244
198802,-0.10652506713611111
198803,-0.08337703039389834
198804,-0.06255694748653504
198805,-0.05143473440371407
198806,-0.04168962289334593
198807,-0.04364050611394585
198808,-0.05463279397642649
198809,-0.08269013527257994
198810,-0.09677617933624143
198811,-0.09818527911210824
198812,-0.11266544762687383
198901,-0.12950377532644897
198902,-0.10245835842368818
198903,-0.08704249745757332
198904,-0.07097763561267606
198905,-0.049840722933665496
198906,-0.04022803860952739
198907,-0.042641888484884705
198908,-0.05491700391720216
198909,-0.07421615619804366
198910,-0.0787605785378691
198911,-0.10682545697561356
198912,-0.12977241705043643
199001,-0.12047019620409474
199002,-0.10291462987121622
199003,-0.09525756538011394
199004,-0.06026004104051353
199005,-0.0545872311803184
199006,-0.04397621108273289
199007,-0.04593489700357661
199008,-0.060264739419146354
199009,-0.07654524620203206
199010,-0.10273652869669044
199011,-0.09844563015922342
199012,-0.10683206958523928
199101,-0.11512083524168922
199102,-0.09332709408082109
199103,-0.0770286275418168
199104,-0.05078642136287457
199105,-0.04213189738327025
199106,-0.041777731212414494
199107,-0.04110589259838048
199108,-0.05344578983441308
199109,-0.06018388802137781
199110,-0.06325560348794798
199111,-0.08215821278674393
199112,-0.11265395661599809
199201,-0.12513470481970054
199202,-0.09608181983260212
199203,-0.09320232381703064
199204,-0.0698203555435672
199205,-0.04595860097076046
199206,-0.036034585068971815
199207,-0.042633212168693764
199208,-0.05397046421790249
199209,-0.060616026670781864
199210,-0.06712270106037488
199211,-0.10329444503655834
199212,-0.12313794838006181
199301,-0.12481367291192351
199302,-0.11087361750398049
199303,-0.09003989546174519
199304,-0.06690458174786963
199305,-0.04375913236036009
199306,-0.03694189889256127
199307,-0.036396870899621875
199308,-0.05403062887173074
199309,-0.06893299652086715
199310,-0.08779312005122752
199311,-0.09726906921135137
199312,-0.11111382867849269
199401,-0.10339168952655196
199402,-0.08084091777598405
199403,-0.08149779363459304
199404,-0.06964771414648387
199405,-0.049464433703880914
199406,-0.034602153911751476
199407,-0.03564268578638667
199408,-0.03940661668526148
199409,-0.050502415016328836
199410,-0.058407672844718886
199411,-0.07967975711182776
199412,-0.0991976333430618
199501,-0.10406540834903912
199502,-0.08646640150555183
199503,-0.10123790990052917
199504,-0.06531507490964869
199505,-0.047444428876258965
199506,-0.04128422511985889
199507,-0.04051121802856796
199508,-0.042418128422028106
199509,-0.06865962367568607
199510,-0.08337326846535957
199511,-0.09612893104654534
199512,-0.12075459563371602
199601,-0.11806494828317705
199602,-0.10969951930236678
199603,-0.09296983431371751
199604,-0.06456277576046969
199605,-0.053663586241767605
199606,-0.04063656133433038
199607,-0.0390796011990819
199608,-0.059027528618633335
199609,-0.0804839110292285
199610,-0.09433799565850153
199611,-0.10618490930284695
199612,-0.12502484213798587
199701,-0.09639803959229096
199702,-0.10115283555439061
199703,-0.10109709154132472
199704,-0.07068082261600238
199705,-0.04846056857817356
199706,-0.03820735487020065
199707,-0.037919970107232304
199708,-0.05039271042526902
199709,-0.06535235800381334
199710,-0.09338172224095197
199711,-0.10417245659021673
199712,-0.10905261557340355
199801,-0.1143340367350208
199802,-0.098364703024153
199803,-0.08606622120989661
199804,-0.060142987355676386
199805,-0.05096807608991306
199806,-0.040017212796826476
199807,-0.04113758170728059
199808,-0.056406533304932935
199809,-0.0758264210674832
199810,-0.10597075591778153
199811,-0.10170282315313217
199812,-0.12855433952831088
199901,-0.1208364595325909
199902,-0.09966753675847012
199903,-0.09669970580425703
199904,-0.06721314936183395
199905,-0.049881415469186584
199906,-0.04008243150118958
199907,-0.04416292323121538
199908,-0.05456675661952195
199909,-0.0801972551965217
199910,-0.10031217805628351
199911,-0.1041869551431893
199912,-0.10820610665129006
200001,-0.11744412119544971
200002,-0.09755450668121106
200003,-0.08473268177441864
200004,-0.06962975861318738
200005,-0.051635740912294135
200006,-0.03711758909879272
200007,-0.04282289549476572
200008,-0.05053490725215832
200009,-0.06678304180846727
200010,-0.07241956024400562
200011,-0.09015285958050298
200012,-0.12949702390869927
200101,-0.11537394883776086
200102,-0.10637651970838731
200103,-0.10101894269414755
200104,-0.07476781341084253
200105,-0.053983532501450486
200106,-0.03893763800386484
200107,-0.04035774788761758
200108,-0.05708714343292133
200109,-0.06575600976333897
200110,-0.08224978669427736
200111,-0.08743928835009686
200112,-0.1206426373665303
200201,-0.09905320748757156
200202,-0.08845555735593662
200203,-0.08777135252107807
200204,-0.0692407240457046
200205,-0.04774356774714131
200206,-0.040652791233618556
200207,-0.03694192310404515
200208,-0.04531536301911607
200209,-0.06708274279450982
200210,-0.05820093866079999
200211,-0.059376790027491966
200212,-0.1038885425627772
200301,-0.08488738962303699
200302,-0.06302397835818674
200303,-0.09158412608287388
200304,-0.0629625979490715
200305,-0.05402596795983339
200306,-0.04108786165868788
200307,-0.040659736257998236
200308,-0.04816570056704839
200309,-0.06151485069495271
200310,-0.0842281546317626
200311,-0.09217007774803168
200312,-0.11220808019676219
200401,-0.11303985752891577
200402,-0.09421013082917437
200403,-0.09036999514191993
200404,-0.07136701963083049
200405,-0.05080021700419719
200406,-0.03569950783371143
200407,-0.034380621115440504
200408,-0.05250071571157935
200409,-0.0670243306761372
200410,-0.09496736286455393
200411,-0.11221396017824772
200412,-0.11814005183965484
200501,-0.1136506424307491
200502,-0.10837602842638422
200503,-0.09351004109794495
200504,-0.06892983314927226
200505,-0.05102449003176452
200506,-0.03751121025210334
200507,-0.043364965345038455
200508,-0.05219383704011648
200509,-0.07253956494656072
200510,-0.08997410417144236
200511,-0.10645721161135695
200512,-0.12820068451154867
200601,-0.11122878210260985
200602,-0.08383907256098477
200603,-0.09065874209950846
200604,-0.06131301830839502
200605,-0.034344542630886495
200606,-0.030017558990856147
200607,-0.03918726105616997
200608,-0.052886132832915024
200609,-0.07689645484357986
200610,-0.07780876379962884
200611,-0.1020574236869988
200612,-0.10697678527939136
200701,-0.10408799795168273
200702,-0.08752010356552384
200703,-0.09807879095124161
200704,-0.06274575227302567
200705,-0.05043460241885397
200706,-0.03752952994432711
200707,-0.04070023480597329
200708,-0.052001005790302667
200709,-0.07961654180212571
200710,-0.08870633278535492
200711,-0.10177077498586783
200712,-0.11719241229326148
200801,-0.112821382937733
200802,-0.09555086335763559
200803,-0.09709563727826422
200804,-0.06795657855861564
200805,-0.054725005464090155
200806,-0.03897243016075444
200807,-0.04738955803782687
200808,-0.054011776986633474
200809,-0.08316040246526414
200810,-0.11035026827741842
200811,-0.097777429967467
200812,-0.1308646716456958
200901,-0.12815230382313533
200902,-0.09696282277118468
200903,-0.10529833122213553
200904,-0.0731019821159972
