,P_mm,PE_mm,AEP_mm,Q_mm,RC
2014-01-01,1.7952681273732152,30.383183773361026,10.7272710361246,0.08243252032520325,0.04591655088636601
2014-02-01,8.14629214013467,22.96620439038861,10.388874657347,0.07738536585365853,0.009499458713541697
2014-03-01,20.128670483518604,18.551847374666277,11.4470579484155,0.6343284552845528,0.03151367875011627
2014-04-01,3.314353865221008,9.946073123702165,6.618385251235701,0.6156357723577235,0.18574835319120991
2014-06-01,2.5391510259964383,6.960699347374666,4.657937245579557,0.2788813008130081,0.10983249832631235
2014-07-01,1.7676100808929531,7.81585286265203,4.4307927967525655,0.20184715447154472,0.11419212678939719
2014-08-01,4.843832012566613,8.6403166716108,5.3840941652796,2.168858536585366,0.4477567617866557
2014-09-01,2.0007295429025485,18.58583654701869,10.4092227892659,0.8143219512195123,0.40701250906613734
2014-10-01,2.702084780095521,18.978785968555325,8.9456118170713,0.1648,0.06098994421417605
2014-11-01,6.8303750416780975,28.069014387422133,11.9245417502271,0.08370731707317072,0.012255156790424993
2014-12-01,40.2526478745937,24.16234351824385,15.6380718688673,0.30193170731707314,0.007500915424439535
2015-01-01,11.201484051573328,27.704193117769204,17.4830144688556,0.9682471544715446,0.0864391852020311
2015-02-01,19.822762434364442,25.846068673983986,13.360982683789299,1.1329560975609756,0.057154299321919934
2015-03-01,21.939248638464633,19.5643992880451,11.236413156481,1.2959219512195124,0.059068656934196835
2015-05-01,25.68957924332618,8.230066745772767,6.2239285662901995,2.144416260162602,0.08347416825519606
2015-06-01,2.6413369063275627,6.5115129041827355,5.1375451534029,0.9266731707317073,0.35083490050503496
2015-07-01,4.624558692387462,7.405321121328983,5.5211001307872,0.7896715447154471,0.17075608663272762
2015-09-01,5.035115592502425,17.725186146544054,10.6478051202609,0.5710829268292683,0.11342002310327164
2015-11-01,5.214471654474193,26.307095817264912,16.5325458948132,2.542673170731707,0.48761856218932703
2015-12-01,4.2843656717841725,24.904122663897958,14.2810938571669,0.8645593495934959,0.20179401475632228
2016-01-01,22.229167704909628,26.23019949569861,15.2698922713128,3.547668292682927,0.15959519221672766
2016-02-01,6.0747652793888935,27.93015722337585,15.773403020245198,0.8647024390243904,0.1423433497847636
2016-03-01,7.928711905047474,20.307100266983095,11.8090565101637,0.2529821138211382,0.031907088673519345
2016-04-01,6.328601610247936,14.20140536932661,8.2432202578923,0.16105365853658538,0.02544853799546971
2016-06-01,4.434460560353878,6.248848264609908,5.085700978486263,1.105860162601626,0.24937873447077777
2016-07-01,3.514671257286524,7.2478211213289825,5.4892496392971,0.9872260162601626,0.2808871567187035
2016-08-01,2.8688484399353245,10.654347374666271,7.8765683768792005,3.632949593495935,1.266344203801103
2016-09-01,17.934086820459044,16.62877781073865,9.8376783529921,1.442809756097561,0.0804506954015421
2016-11-01,1.2987468506590865,22.375759418570155,9.8396608558676,0.35728130081300813,0.2750969525983416
2016-12-01,3.2861469840227384,27.894311776920794,12.7162707895544,0.1679219512195122,0.05109995141299202
2017-01-01,24.556669790352696,30.843401067932362,13.965828343054799,0.21260487804878048,0.008657724352033441
2017-02-01,15.056063042255571,25.50437258973599,14.311428162952101,0.11698211382113821,0.007769767800043227
2017-03-01,56.486807549972,15.633776327499257,10.6969848159498,3.1312130081300813,0.055432642486654984
2017-06-01,8.927981254675041,6.3089780480569555,5.4236913308769,0.774269918699187,0.0867239633028742
2017-10-01,15.097876554464456,16.78061554434886,7.8241366574571005,0.12728455284552845,0.008430626147084922
2017-11-01,9.816780150936978,24.912137347967963,12.0873363225852,0.13499837398373982,0.013751797626929099
2017-12-01,2.7136078685558602,25.738742954612874,15.540544153700301,0.1600780487804878,0.0589908551767573
2018-01-01,16.27918027013099,29.67610278849006,14.8740353522202,0.11223414634146343,0.006894336476351358
2018-02-01,12.840149902741697,24.968495995253637,10.5568953694927,0.03224715447154471,0.002511431308497351
2018-03-01,39.690600475229964,19.8985071195491,12.2009135678274,0.739551219512195,0.01863290579273883
2018-04-01,2.0255944716354652,11.418462622367251,6.8939778149625,0.30384390243902437,0.1500023359531095
2018-05-01,1.4005969053491996,9.475337436962327,5.597860853147401,0.3963317073170732,0.2829734278316565
2018-06-01,5.5850530437025405,6.154106348264609,3.9450059879288393,0.4895869918699187,0.08766022238982232
2018-07-01,1.3551410242658963,10.316147285671907,4.229372312746166,0.2906146341463415,0.21445342509926044
2018-09-01,4.425649822666079,17.79597152180363,7.6142028574555995,0.14208780487804878,0.03210552361154795
2018-10-01,5.400055231691562,15.524367398398105,7.9462473052872,1.003889430894309,0.18590354872719358
2018-11-01,11.639301460417025,26.30911302284189,12.5412702195106,0.2612032520325203,0.022441488685624407
2018-12-01,34.24746347989572,27.54586027884901,14.4146602183975,0.4581723577235773,0.01337828589823997
2019-01-01,6.304526557016587,30.701950017808375,13.5304796937752,0.08889756097560975,0.014100592672842612
2019-02-01,2.3556174943769754,26.766549922830343,10.3254073252865,0.04407154471544715,0.018709126087172057
2019-03-01,15.740186452812896,19.404483260121093,11.5153938072887,0.13004227642276422,0.008261800253295261
2019-04-01,1.1936579663528137,11.301090021370056,6.3191994459376,0.12857235772357722,0.1077128971177784
2019-06-01,7.138499410400234,6.71306615813843,4.223364277285794,0.0848130081300813,0.01188106957136053
2019-07-01,4.207747918928563,9.088302119197435,4.347588695343874,0.1442081300813008,0.03427204596372806
2019-08-01,1.0790375011238476,13.860209396889465,4.241451956678096,0.04459186991869919,0.04132559792616616
2019-09-01,6.352740946995712,19.145883295737853,7.1018855902628,0.14026666666666665,0.02207970824514739
