system:index,PET
2009_05_25,131.00361910412343
2009_06_02,128.23025808365475
2009_06_10,148.50714921388308
2009_06_18,109.30234351824386
2009_06_26,130.91735390091958
2009_07_04,118.7104123405518
2009_07_12,131.07813705132003
2009_07_20,150.72666864431923
2009_07_28,179.9960842479976
2009_08_05,191.8285375259567
2009_08_13,254.73716997923472
2009_08_21,321.5028181548503
2009_08_29,277.10080094927326
2009_09_06,331.4078315040047
2009_09_14,401.89071492138834
2009_09_22,412.02521506971243
2009_09_30,378.1367546722041
2009_10_08,383.0265203203797
2009_10_16,516.6932660931475
2009_10_24,388.0211806585583
2009_11_01,419.51931177692086
2009_11_09,600.8901809552063
2009_11_17,626.6126371996443
2009_11_25,623.147967962029
2009_12_03,644.8909522396914
2009_12_11,606.2326312666863
2009_12_19,478.006941560368
2009_12_27,188.8359537229308
2010_01_01,538.0002966478789
2010_01_09,655.037674280629
2010_01_17,690.5363986947493
2010_01_25,484.54660338178587
2010_02_02,479.35146840700116
2010_02_10,553.6331059032929
2010_02_18,492.67273805992295
2010_02_26,372.96719074458605
2010_03_06,409.72654998516754
2010_03_14,428.02207060219536
2010_03_22,402.58896469890254
2010_03_30,298.0538712548206
2010_04_07,293.1051913378819
2010_04_15,300.9941857015723
2010_04_23,239.12227825571054
2010_05_01,262.1856422426581
2010_05_09,239.44408187481454
2010_05_17,103.46087214476417
2010_05_25,126.00255117175911
2010_06_02,125.75983387718783
2010_06_10,133.03862355384155
2010_06_18,130.75384159003255
2010_06_26,120.55609611391277
2010_07_04,100.37021655295166
2010_07_12,133.60872144764164
2010_07_20,126.23636902996147
2010_07_28,134.16641946010085
2010_08_05,176.7068525660041
2010_08_13,216.78427766241472
2010_08_21,224.51581133194898
2010_08_29,266.3543162266389
2010_09_06,291.1206170275883
2010_09_14,272.952595668941
2010_09_22,385.7448828240878
2010_09_30,275.2562444378523
2010_10_08,287.409789380006
2010_10_16,424.8135864728568
2010_10_24,422.66484722634226
2010_11_01,357.09819044793824
2010_11_09,481.53877187778124
2010_11_17,443.0089587659449
2010_11_25,453.82954612874516
2010_12_03,447.6606941560369
2010_12_11,467.48584989617336
2010_12_19,507.10430139424506
2010_12_27,385.7323642835954
2011_01_01,561.2659744882825
2011_01_09,565.0579649955503
2011_01_17,596.4355977454761
2011_01_25,680.8244437852269
2011_02_02,522.6169089291012
2011_02_10,460.64752299021075
2011_02_18,483.20812815188367
2011_02_26,430.66769504598034
2011_03_06,414.1160486502521
2011_03_14,376.0377336102047
2011_03_22,364.6263423316523
2011_03_30,321.5270839513499
2011_04_07,296.32631266686445
2011_04_15,262.5428656185108
2011_04_23,209.99857609018102
2011_05_01,206.1234648472264
2011_05_09,185.93390685256605
2011_05_17,176.7613171165826
2011_05_25,93.81987540789083
2011_06_02,148.56297834470487
2011_06_10,94.16345298131118
2011_06_18,144.66935627410257
2011_06_26,126.96719074458615
2011_07_04,144.91242954612872
2011_07_12,103.48264609908043
2011_07_20,115.04823494512017
2011_07_28,210.95983387718778
2011_08_05,156.04443785226934
2011_08_13,187.17662414713735
2011_08_21,218.0271729457134
2011_08_29,282.38558291308215
2011_09_06,278.1636309700385
2011_09_14,416.8159596558885
2011_09_22,316.7620290714922
2011_09_30,254.39655888460396
2011_10_08,351.5813705132008
2011_10_16,477.3124888757045
2011_10_24,359.85470186888165
2011_11_01,517.8435479086324
2011_11_09,496.4194007712846
2011_11_17,412.43363986947503
2011_11_25,475.96772471076855
2011_12_03,435.7119549095223
2011_12_11,451.58700682290106
2011_12_19,508.2244437852269
2011_12_27,308.40302580836544
2012_01_01,632.5152180361913
2012_01_09,555.4996143577575
2012_01_17,501.1146247404332
2012_01_25,370.1494512014238
2012_02_02,479.72322752892325
2012_02_10,535.2517353900919
2012_02_18,479.2938593889055
2012_02_26,420.17757342035014
2012_03_05,393.85778700682283
2012_03_13,365.3927617917531
2012_03_21,366.87428062889353
2012_03_29,378.82337585286257
2012_04_06,271.67712844853156
2012_04_14,166.31272619400772
2012_04_22,211.8016018985465
2012_04_30,190.66312666864422
2012_05_08,215.53171165826163
2012_05_16,189.37893800059328
2012_05_24,139.01364580243248
2012_06_01,102.79021061999408
2012_06_09,120.69973301690894
2012_06_17,140.5900919608425
2012_06_25,107.12275289231683
2012_07_03,112.1881340848413
2012_07_11,122.3139127855236
2012_07_19,134.72352417680213
2012_07_27,163.21993473746656
2012_08_04,169.83328389202012
