,P_mm,EP_mm,Q_mm,RC
1981-01-01,43.52240818065836,92.3967701118065,0.5962406504065041,0.013699624522879166
1981-02-01,204.45345041021483,96.070324688697,13.549619512195122,0.06627239347151737
1981-03-01,26.670978731632896,82.4178635966331,3.350230894308943,0.12561334655242437
1981-04-01,86.3735927895934,67.5428070218343,15.3104,0.1772578806267354
1981-05-01,130.44446220214107,42.29291978486194,21.897378861788617,0.16786744712746574
1981-06-01,22.388532248364914,39.31854379297433,11.556344715447155,0.5161725023886343
1981-07-01,31.54764026562166,41.245372007022084,6.439362601626017,0.20411550744868767
1981-08-01,17.392840268553407,45.601522071046276,5.353326829268293,0.30778911015167615
1981-09-01,28.38825663752572,60.4418202813141,2.461658536585366,0.08671397359890573
1981-10-01,151.128097772674,84.9410811826937,3.706159349593496,0.024523297813013427
1981-11-01,146.20692205795615,103.95444837652249,12.24729756097561,0.08376687908196853
1981-12-01,133.32118723535456,119.2731533496937,3.0232455284552846,0.022676407187390918
1982-01-01,186.38258602009606,123.0010269614382,10.934673170731706,0.058667890623390714
1982-02-01,99.85435869829905,99.2675746434866,6.3112715447154475,0.06320476769356044
1982-03-01,209.6497688614177,89.1902682106568,62.50138536585366,0.2981228441380644
1982-04-01,36.41815895461406,70.522102688339,10.533151219512195,0.28922799839055785
1982-05-01,21.287007236707492,50.3439521423093,3.747967479674797,0.1760683142537656
1982-06-01,31.97779468429651,35.126537716201085,4.060123577235772,0.1269669662126387
1982-07-01,27.928242826084198,34.99138435338956,4.436617886178862,0.1588577524839903
1982-08-01,10.672043050888572,47.66402394225663,2.7423739837398373,0.25696803982734145
1982-09-01,94.85094967009447,67.6315985930524,10.082406504065041,0.10629737012790205
1982-10-01,183.13732030785906,100.6450979415614,52.57862764227642,0.2870994702439145
1982-11-01,31.523660490330915,105.7864680407128,3.2946471544715448,0.10451347030215906
1982-12-01,145.39483735992295,104.7736149577716,1.1135349593495936,0.00765869668806089
1983-01-01,85.98343144586568,121.920535999363,1.9826341463414634,0.023058327784809454
1983-02-01,114.78118443724152,89.7365007311584,0.7954731707317073,0.006930344678283445
1983-03-01,119.68735552275297,95.1982788146292,3.6385560975609756,0.030400505397324733
1983-04-01,127.78819653493873,65.12583880438056,4.009730081300813,0.031377937791026794
1983-05-01,106.07547977713575,48.41107326703127,20.317957723577237,0.1915424541681565
1983-06-01,37.12208075081922,36.985102713318554,17.502321951219514,0.47148008940294295
1983-07-01,40.74503915503184,38.93143727673703,7.805476422764228,0.19156875498548354
1983-08-01,16.752366224109892,25.7969758470752,3.6930211382113822,0.2204477319088459
1983-09-01,6.522316782339859,24.7989372035304,1.2122276422764229,0.1858584430548834
