member,NSE,logNSE,Imax,Ce,Sumax,Beta,Pmax,Tlag,Kf,Ks
12,-1.69852114259092,-2.307677081291843,4.14429129599415,0.7753570426666339,756.6068129546801,1.951233903685956,0.2799759489437798,1.0377653041164057,0.011613946582150259,0.008597448408217596
13,-2.449234206498522,-2.0854859210682104,4.630868801809257,0.7144023435247854,70.77413439945371,2.237191172385617,0.2923323911249667,5.004719692762788,0.07880117253625671,0.0029080872176500106
14,-2.0552210462294833,-2.223164813491176,5.1628407671647505,0.700172188608335,121.66577689577042,1.7455781354520978,0.17685891044675203,3.5073957642056732,0.02547753343455015,0.009474155221907518
15,-2.2473043032550954,-2.136617957592506,7.921794170987331,0.5988203903338214,614.3468866573311,1.8736911103627554,0.28387652539102365,5.782979382169033,0.06511658555364347,0.003975893973275211
16,-2.026254250439297,-2.249138175862826,6.558865575374731,0.41709300066115107,71.75096401357527,1.6808683507783866,0.21189820930995593,5.29796245173291,0.02058461108882119,0.007175904909825084
17,-2.1339018453780025,-2.1143058181760135,3.3056074785294465,0.7267469985782974,383.1879976817774,1.3874075097256262,0.13993754736649522,2.2160189931908416,0.06133564804328232,0.0018427413012620508
18,-2.113589888775636,-2.093369827640925,7.010141241653019,0.40544949767673566,660.2252322898489,1.9275049423888322,0.27459264280532114,3.1095193806765726,0.07602903312830052,0.0018399383203613676
19,-2.473057330032292,-2.087857895228938,6.5900754605641705,0.620016474286042,358.5902817548356,1.8631262814047425,0.17429893322438347,6.011085382076082,0.08169241511979738,0.0026955716374700805
20,-2.024858201713375,-2.2366713505556803,0.4357960625788371,0.6267187085300205,184.3689330660551,2.3011199321965865,0.07252066993731043,4.0147963976321694,0.022263312240325676,0.002916799990444448
21,-2.071340784672397,-2.1306871917488386,5.7490978925135545,0.4451673339148586,680.9920449605609,2.3868648931442107,0.11746078797226284,1.9430590248627573,0.052915751669963866,0.0067054559316396785
22,-2.132573244038578,-2.1444468254956703,6.417364499395803,0.4251104959325057,121.50720216785703,1.8612283775738712,0.1272126543680979,2.217689723887976,0.046993306075600955,0.009574959786091637
23,-2.2986575737850443,-2.148949493812044,5.8912531504915115,0.6298896899868096,258.8941272106311,2.041123847188607,0.05005409230324389,6.07973247434184,0.045917970249504184,0.006649039794406411
24,-2.5535461794505547,-2.049219550623982,5.673054006249338,0.5941941063162759,204.89627918620275,1.5882951774453677,0.00847493929159068,5.371166377592833,0.08475984254451235,0.006271063143115791
25,-2.0924282296389864,-2.210689310359976,4.327494834420225,0.5205688388540559,392.84308974644546,2.014660980159396,0.016730793970962693,4.887839469336679,0.02689433276842529,0.009765020628244329
26,-2.201196401308342,-2.0853946984566374,0.9985933950448782,0.4159182232186514,282.88869408630285,2.4973180909970236,0.20383158951523894,1.3904872833876842,0.07853651655971786,0.0031841777703805756
27,-2.321994432143746,-2.070902996824755,7.661178363757347,0.6535576545896453,730.9115734968984,2.410573322277942,0.0769087915478222,3.7193688764754644,0.07622153583785192,0.007983731817436071
28,-2.1260069367985204,-2.1260061981568734,3.226050389879359,0.4497342732802175,637.076807101079,1.2118555950172203,0.046464438090444815,4.120133280635221,0.04801896374863258,0.006234698114592948
29,-1.9984992489562483,-2.2338904593057567,1.7356092825884808,0.404642337766155,576.3705202630823,2.407252479220767,0.06007732702795946,5.09043327696007,0.022334172881574944,0.006271571100879298
30,-2.4247109932236772,-2.1106623571076715,5.7382067716265555,0.5106666354714126,146.32662225896698,1.0579863662030944,0.2456667066187006,5.872610952601729,0.07340335495260812,0.003988395353435482
31,-2.3981179343709864,-2.0980160711047215,7.953659507375501,0.5206182160376646,504.98421472317534,1.0377770001170454,0.26763668568839777,6.025198897613297,0.08875434420655881,0.00977665150541677
32,-1.929162645010189,-2.209648532373298,2.0449124448066804,0.4721270526013377,687.1362205065266,1.2666981732212337,0.136841461898938,5.143938980529072,0.025827768714612655,0.0032294624496507366
33,-1.7945598254615422,-2.2368471795026035,5.370475455514243,0.42679118523258686,742.0640335090374,1.4575718828916775,0.22251188271479655,2.8950564095582125,0.02058055343621132,0.0027426830613471206
34,-2.029565402118111,-2.214058852135945,4.792047305112932,0.7116935814104108,543.2800461894236,2.4771209416769713,0.17293441366338133,3.8581629692337245,0.028954380695164997,0.0062255250907669885
35,-2.2501936564561116,-2.1214571989746194,5.7386571644441045,0.5602993896913265,236.82440006433325,2.4151921717451916,0.14706603018131983,6.429465728356098,0.04991301866614467,0.0008408881031864399
36,-2.221500068506453,-2.144323333959121,7.4987962771592365,0.4983259405227012,250.3677526638453,2.1459333518699077,0.19367546555427692,4.259043864087246,0.05144273561886468,0.004031703240272719
37,-2.2703066792565436,-2.1127087058472362,2.8144781483176162,0.6095088751424005,522.9632738129858,1.9346351235802541,0.2845443246414684,3.8275224509738415,0.07812395966212782,0.006095723202778382
38,-2.0254172551613157,-2.240114579447079,2.029072779771168,0.5019942775572861,590.548642731811,2.453325370059569,0.24093045846638517,6.981710294647993,0.024780873800846627,0.0057981271615522734
39,-2.6568625000532156,-2.0731594735317653,3.219780072294184,0.740763384721771,272.246313018868,1.8595244032785336,0.1237182588453662,7.9656765714346305,0.09096042883936509,0.0089272769325152
40,-2.2106816688093858,-2.1157505638274268,5.97208573747988,0.5934014312361311,555.2515668754,1.3198293187532624,0.07617157712147939,3.94123376917763,0.05695254368108448,0.008988309954687926
41,-2.1566993558316345,-2.174095813076011,5.792564539293506,0.6492599804544301,424.93501581431036,1.2001806429142095,0.0017845018265049354,5.439356497616856,0.035146138418620416,0.0006155079549514566
42,-1.8268853966527518,-2.3036840189897863,3.2488623684671145,0.7892290019517065,670.3331723806991,2.1456391366958147,0.08809213603421687,7.379067906403492,0.012048443828416936,0.007221412088984792
43,-2.0643387052667364,-2.1416268055335075,7.915038786240019,0.5418990118167436,559.3065250669158,1.7909774568627896,0.2937818977280264,2.081293670471364,0.0627324209002354,0.009270202974476978
44,-1.924356587062504,-2.200944643107075,3.603994245961328,0.48985825368828223,731.6769245054878,2.2260919018289576,0.12774159609459595,3.038343833165204,0.028170062899186374,0.0030437016913642872
45,-2.2772719009062503,-2.1289937983645513,2.9904674728028233,0.7914855222505883,131.15411172471607,2.1907765837235686,0.16248507163042752,5.530820159193953,0.04973785954478216,0.00120806396158384
46,-2.3611944808206315,-2.0144860246604455,5.677028849353617,0.6348297684003251,678.1971810612729,2.005265505636305,0.020037235092981706,2.2485930214473298,0.09647008199132992,0.008544209556998868
47,-1.9416530756955792,-2.1907573499603283,0.6596684264936679,0.7926725554950003,760.6850903359089,2.1651372712754666,0.04352108738378658,2.960722668669869,0.028217538938909492,0.005381382383768155
48,-2.2509696389514025,-2.183540279162851,3.186983350490266,0.7874664321261777,475.95190825373186,2.0322172631624786,0.2956928773425954,7.553420679363821,0.04723712506086934,0.008038110905558121
