system:index,ETa
1994_11_01,2.5533990888647864
1994_12_01,2.736405424903366
1995_01_01,2.9311129588784532
1995_02_01,2.9306059811457765
1995_03_01,2.4946148910157717
1995_04_01,2.027077386196446
1995_05_01,1.2997639597665147
1995_06_01,1.0057173147895837
1995_07_01,1.2707647059288028
1995_08_01,1.8204664747300303
1995_09_01,2.224761402645573
1995_10_01,2.506695576394765
1995_11_01,2.733081457578561
1995_12_01,3.342742896976
1996_01_01,3.396288689197987
1996_02_01,3.139128172424861
1996_03_01,2.5956061965043724
1996_04_01,2.0849936802526123
1996_05_01,1.5014046848170621
1996_06_01,1.1447818302157784
1996_07_01,1.1265219345332875
1996_08_01,1.702695010997309
1996_09_01,2.237446224707282
1996_10_01,2.6380370524621415
1996_11_01,2.982946520935069
1996_12_01,3.3522858018425934
1997_01_01,3.354328663713521
1997_02_01,3.191777575301641
1997_03_01,2.60227417784926
1997_04_01,1.8398700246523643
1997_05_01,1.149932456051133
1997_06_01,1.1888059575991046
1997_07_01,1.4159317655092758
1997_08_01,1.6862370204743087
1997_09_01,2.128646582181327
1997_10_01,2.652074833730417
1997_11_01,2.51158966698988
1997_12_01,3.058479357199618
1998_01_01,3.323049864822961
1998_02_01,3.3962246887848773
1998_03_01,2.791423523672932
1998_04_01,1.82609813045572
1998_05_01,1.333265723752018
1998_06_01,1.1559589233539285
1998_07_01,1.134475857580203
1998_08_01,1.5910972173539644
1998_09_01,2.305414098390843
1998_10_01,2.808896751874532
1998_11_01,2.8454975529699644
1998_12_01,3.4145811855764783
1999_01_01,3.6907510162237394
1999_02_01,2.9821633631580124
1999_03_01,2.5240299027508883
1999_04_01,1.9250559309352377
1999_05_01,1.473312206221239
1999_06_01,1.2698126961214509
1999_07_01,1.1850556783869168
1999_08_01,1.511480859759269
1999_09_01,2.2578113599989367
1999_10_01,2.63881697409151
1999_11_01,2.838429774282194
1999_12_01,3.224943814580731
2000_01_01,3.404137142400997
2000_02_01,3.436786412718114
2000_03_01,2.7667941488827603
2000_04_01,2.054159192330632
2000_05_01,1.8767702608329375
2000_06_01,1.0781511253964275
2000_07_01,1.091309226126566
2000_08_01,1.3923558373456142
2000_09_01,2.157514488189744
2000_10_01,2.1253618971241512
2000_11_01,2.545724498285859
2000_12_01,3.4884491816571996
2001_01_01,3.4560215787702213
2001_02_01,3.1845065976627325
2001_03_01,3.095894855141247
2001_04_01,2.2925992104720843
2001_05_01,1.5915953363926052
2001_06_01,1.234183054429802
2001_07_01,1.105555385454569
2001_08_01,1.63804863521891
2001_09_01,1.9615710152042647
2001_10_01,2.5730246388352414
2001_11_01,1.9449124930080919
2001_12_01,3.374502683797138
2002_01_01,3.3772681739737087
2002_02_01,2.6811395912766582
2002_03_01,2.44826336098158
2002_04_01,1.8656333028419199
2002_05_01,1.3887569554988284
2002_06_01,1.1813988325166551
2002_07_01,1.2831916534093006
2002_08_01,1.4190806513891325
2002_09_01,2.1894453290447293
2002_10_01,2.2003431094013552
2002_11_01,2.400937960427059
2002_12_01,2.6065666584069866
2003_01_01,3.2147135215565976
2003_02_01,2.217961557027009
2003_03_01,2.5811221364537857
2003_04_01,1.857185741687005
2003_05_01,1.7117511993957102
2003_06_01,1.22989165497716
2003_07_01,1.2687183733676675
2003_08_01,1.3769685723678478
2003_09_01,2.2953046350357207
2003_10_01,2.3035508915999094
2003_11_01,2.7277096955598767
2003_12_01,3.2138945466415474
2004_01_01,3.5677805883777585
2004_02_01,3.9112223979065552
2004_03_01,2.4724492682238086
2004_04_01,2.318003423894379
2004_05_01,1.5375125295869136
2004_06_01,1.1265353331330907
2004_07_01,1.0363817772971706
2004_08_01,1.4172952446410148
2004_09_01,2.0533296965417573
2004_10_01,2.8543041446457167
2004_11_01,3.0587607821603235
2004_12_01,3.411052153241992
2005_01_01,3.525545403142744
2005_02_01,3.7372944707662787
2005_03_01,2.9485838138451075
2005_04_01,2.1623169918201897
2005_05_01,1.4548190333243352
2005_06_01,1.2329916156122511
2005_07_01,1.1904660712680937
2005_08_01,1.6901583410019008
2005_09_01,2.052921810726112
2005_10_01,2.4434409872478295
2005_11_01,2.7596664404132176
2005_12_01,4.4337033395316165
2006_01_01,3.3292216063814424
2006_02_01,3.0465641720775967
2006_03_01,2.5234208752681764
2006_04_01,2.1659957683284357
2006_05_01,1.4119909326630322
2006_06_01,0.9371449610766266
2006_07_01,1.0120285311861106
2006_08_01,1.4925233514817906
2006_09_01,2.261605337401196
2006_10_01,2.3967863698479994
2006_11_01,2.944706584277716
2006_12_01,2.9450291478896498
2007_01_01,3.2111033998487386
2007_02_01,2.895226866525678
2007_03_01,2.6179486525992712
2007_04_01,2.0088352013895214
2007_05_01,1.5965776417816138
2007_06_01,0.991371560232642
2007_07_01,1.200310652185131
2007_08_01,1.6648509033037455
2007_09_01,2.1704905176388274
2007_10_01,2.84112693221146
2007_11_01,2.908239884781765
2007_12_01,3.3348921781826046
2008_01_01,3.220302799883108
2008_02_01,2.989424232408195
2008_03_01,3.0044787049918793
2008_04_01,2.0981317258620615
2008_05_01,1.496695502467005
2008_06_01,1.065592897693503
2008_07_01,1.0803036557673236
2008_08_01,1.4257992593450863
2008_09_01,2.3314732198044728
2008_10_01,2.6571479497898918
2008_11_01,2.5408543054636303
2008_12_01,3.4869732184151703
2009_01_01,3.680067520474911
2009_02_01,3.560963610639085
2009_03_01,2.7739796094369042
2009_04_01,1.890562314812646
2009_05_01,1.6259654875353682
2009_06_01,1.1054481679476966
2009_07_01,1.1837614065538202
2009_08_01,1.8149719231402495
2009_09_01,2.2688721929337086
2009_10_01,2.5747883812275134
2009_11_01,3.1079501846593063
2009_12_01,3.1152737835979534
2010_01_01,3.9872015291351044
2010_02_01,3.145001424339727
2010_03_01,2.636189220594085
2010_04_01,2.107239496722698
2010_05_01,1.3178586509703178
2010_06_01,1.1847210554075318
2010_07_01,0.9264025739326357
2010_08_01,1.6009019119189356
2010_09_01,2.073722016297035
2010_10_01,2.3021291407663798
2010_11_01,2.806583655940788
2010_12_01,3.1818501780829784
2011_01_01,3.511206192148265
2011_02_01,2.9890643948738598
2011_03_01,2.171239482915217
2011_04_01,2.020669509603539
2011_05_01,1.4495707318975923
2011_06_01,1.6022988369878066
2011_07_01,1.123964347359514
2011_08_01,1.3401891769378855
2011_09_01,2.118541216738333
2011_10_01,2.0555542358213392
2011_11_01,2.738522097149174
2011_12_01,2.7845466323586616
2012_01_01,3.6745993064147413
2012_02_01,3.551944376732815
2012_03_01,2.367435169453196
2012_04_01,2.065295609025021
2012_05_01,1.528392859542655
2012_06_01,1.14100686810129
2012_07_01,1.3421623953670203
2012_08_01,1.656335272561403
2012_09_01,2.204313103787494
2012_10_01,2.3900981516977002
2012_11_01,2.4270832591764386
2012_12_01,2.913112927236907
2013_01_01,3.0823607031636726
2013_02_01,3.4258678702223597
2013_03_01,3.2072380309524404
2013_04_01,2.3625120008707774
2013_05_01,1.7224020259314003
2013_06_01,1.1898276213692953
2013_07_01,1.2876082387865213
2013_08_01,1.987474441140839
2013_09_01,2.7121254598882563
2013_10_01,2.9851669634554208
2013_11_01,2.731365871736365
2013_12_01,3.8709144508736304
