system:index,Evap_tavg
A20000118_2100,1.3681188273356078E-5
A20000119_0000,1.3235637533036445E-4
A20000119_0300,1.9451368847895223E-4
A20000119_0600,1.648685946276033E-4
A20000119_0900,5.465677168177022E-5
A20000119_1200,1.032628118514908E-5
A20000119_1500,1.1072075569178024E-5
A20000119_1800,3.219264069236478E-6
A20000119_2100,2.0311871604470892E-5
A20000120_0000,1.458726274155144E-4
A20000120_0300,2.0598744815045647E-4
A20000120_0600,1.8041088118824912E-4
A20000120_0900,7.251237389634592E-5
A20000120_1200,1.1352641430766622E-6
A20000120_1500,1.107587566157814E-6
A20000120_1800,-3.1236249176114805E-8
A20000120_2100,1.4693562286120752E-5
A20000121_0000,1.367875942475596E-4
A20000121_0300,2.0664903017145712E-4
A20000121_0600,1.8161781971827158E-4
A20000121_0900,6.592146787095442E-5
A20000121_1200,-4.3337809157308856E-7
A20000121_1500,5.2272659348110525E-8
A20000121_1800,-4.0024983048409846E-7
A20000121_2100,8.963135314911967E-6
A20000122_0000,1.0632329726669737E-4
A20000122_0300,1.797758255896629E-4
A20000122_0600,1.5957203073891757E-4
A20000122_0900,6.204527060084424E-5
A20000122_1200,1.57412108547178E-8
A20000122_1500,-3.637300939892186E-7
A20000122_1800,-7.956087173880892E-7
A20000122_2100,1.2414817874251287E-5
A20000123_0000,1.0109091653570017E-4
A20000123_0300,1.6639988645144948E-4
A20000123_0600,1.4606113986009113E-4
A20000123_0900,5.7624803276386254E-5
A20000123_1200,2.5243724526949155E-6
A20000123_1500,3.4096361583226124E-6
A20000123_1800,4.406796975590731E-6
A20000123_2100,8.92016840025118E-6
A20000124_0000,6.393999360068368E-5
A20000124_0300,1.0376968400435351E-4
A20000124_0600,7.955761600966263E-5
A20000124_0900,3.614431521645471E-5
A20000124_1200,7.262969564353218E-7
A20000124_1500,1.589178190397441E-6
A20000124_1800,1.6551049846776589E-6
A20000124_2100,8.43517286001232E-6
A20000125_0000,4.377412346396541E-5
A20000125_0300,6.609754619005648E-5
A20000125_0600,5.0367011881487263E-5
A20000125_0900,2.5628264485831212E-5
A20000125_1200,1.7323108419251304E-6
A20000125_1500,2.0572183403235577E-6
A20000125_1800,1.1103088640182804E-6
A20000125_2100,6.636513315001026E-6
A20000126_0000,3.9745638086494836E-5
A20000126_0300,6.479508563435575E-5
A20000126_0600,6.499277923578854E-5
A20000126_0900,2.6144126098499222E-5
A20000126_1200,6.906422007819861E-6
A20000126_1500,6.427824864876383E-6
A20000126_1800,9.599700431362044E-6
A20000126_2100,1.2198344394146487E-5
A20000127_0000,8.198459801667528E-5
A20000127_0300,1.5035681644090632E-4
A20000127_0600,9.921883378255634E-5
A20000127_0900,3.58690247408235E-5
A20000127_1200,3.967183267314641E-6
A20000127_1500,3.742151806506389E-6
A20000127_1800,2.7655381510107015E-6
A20000127_2100,8.538359169607932E-6
A20000128_0000,7.296485766583919E-5
A20000128_0300,9.395433803350986E-5
A20000128_0600,7.7661568392534E-5
A20000128_0900,2.3455478963685538E-5
A20000128_1200,-1.2195314121595407E-6
A20000128_1500,4.7386851163822836E-7
A20000128_1800,6.166432801675481E-7
A20000128_2100,3.1359880875127724E-6
A20000129_0000,4.819231849585128E-5
A20000129_0300,1.340532209280894E-4
A20000129_0600,1.0871908742117483E-4
A20000129_0900,3.658513095739985E-5
A20000129_1200,4.1691301985056686E-7
A20000129_1500,6.606553929543644E-7
A20000129_1800,9.031071462031352E-7
A20000129_2100,4.5438947834453505E-6
A20000130_0000,4.936358632692667E-5
A20000130_0300,1.2149335544929734E-4
A20000130_0600,8.660720526570708E-5
A20000130_0900,2.692154131214046E-5
A20000130_1200,1.3448130246728593E-6
A20000130_1500,1.139787631441289E-6
A20000130_1800,9.262564394647533E-7
A20000130_2100,2.769760259339302E-6
A20000131_0000,4.701230595912497E-5
A20000131_0300,1.0560386325413225E-4
A20000131_0600,6.598986365960505E-5
A20000131_0900,1.9565968996035907E-5
A20000131_1200,2.520315577003709E-6
A20000131_1500,3.0079747689669773E-6
A20000131_1800,1.3726655643905904E-6
A20000131_2100,6.532988863431628E-6
A20000201_0000,7.120284346073232E-5
A20000201_0300,9.368411685814455E-5
A20000201_0600,6.0743030386728254E-5
A20000201_0900,1.5491933345216623E-5
A20000201_1200,8.025644574146323E-7
A20000201_1500,9.241748444672851E-7
A20000201_1800,-6.9461575206946E-9
A20000201_2100,6.179402883918703E-6
A20000202_0000,8.296724085954815E-5
A20000202_0300,1.5877250079113906E-4
A20000202_0600,1.403784133649806E-4
A20000202_0900,4.662699676898173E-5
A20000202_1200,-1.856779702477552E-6
A20000202_1500,-1.4763052766571945E-6
A20000202_1800,-2.3166368843709267E-6
A20000202_2100,5.600952516855283E-6
A20000203_0000,9.160679810647937E-5
A20000203_0300,1.6873828681999967E-4
A20000203_0600,1.496534205708389E-4
A20000203_0900,5.0370896151624154E-5
A20000203_1200,-2.7633676073896817E-6
A20000203_1500,-1.4030882663149651E-6
A20000203_1800,-2.1019415619080956E-6
A20000203_2100,7.48566903780174E-6
A20000204_0000,9.71385057865532E-5
A20000204_0300,1.769887451556955E-4
A20000204_0600,1.583018519436988E-4
A20000204_0900,5.614947634971876E-5
A20000204_1200,-1.171842959259142E-6
A20000204_1500,-1.4817418605154381E-6
A20000204_1800,-1.6807476877325079E-6
A20000204_2100,9.194709970293898E-6
A20000205_0000,1.050547115799429E-4
A20000205_0300,1.8133416784312697E-4
A20000205_0600,1.5895352547615687E-4
A20000205_0900,5.564026133758989E-5
A20000205_1200,4.264454046460923E-7
A20000205_1500,2.94987703623535E-7
A20000205_1800,-4.929992262700908E-7
A20000205_2100,8.553911197931696E-6
A20000206_0000,9.518552149464467E-5
A20000206_0300,1.3413201818259155E-4
A20000206_0600,1.0646203330115214E-4
A20000206_0900,3.332069792848068E-5
