Date,P,Ep,Qobs,Qsim
2014-01-01,0.0,0.0034278594326487,3.837,0.07088595577963959
2014-01-02,0.0,0.0029226480309001,3.232,0.19077836195334777
2014-01-03,0.0,0.0031757746105847,2.674,0.28818002261107567
2014-01-04,0.5423015409838414,0.0032619179228097,2.17,0.24269697369540028
2014-01-05,0.0,0.0033877395634858,1.788,0.2398740170727341
2014-01-06,0.0,0.0031743654414078,1.517,0.23708627019000805
2014-01-07,9.56980849704402,0.0030167085283218,1.307,0.2359980462542922
2014-01-08,0.0,0.0017833867504432,1.159,0.23679226464506
2014-01-09,0.0033862396074294,0.0018242327106738,1.029,0.23757779148523236
2014-01-10,1.079662176577746,0.0028146970105236,0.925,0.2350042374726675
2014-01-11,0.0,0.0029812957498092,0.846,0.23285002336879046
2014-01-12,0.331342523698085,0.0029323486849639,0.794,0.23084618670976792
2014-01-13,0.0,0.0026305034045698,0.731,0.22821879904145845
2014-01-14,0.0,0.0029247309757794,0.821,0.2256241818506619
2014-01-15,0.0,0.0029100448750231,1.189,0.222810051196494
2014-01-16,0.0,0.0027753731798355,1.089,0.22003102019908166
2014-01-17,0.0,0.0027355030038517,0.999,0.21728665107281525
2014-01-18,0.0,0.002549222477393,0.968,0.21457651149243007
2014-01-19,0.0,0.0023579849863669,0.889,0.21190017452490167
2014-01-20,0.5112452806526016,0.0026608259469806,0.783,0.20945470583828932
2014-01-21,7.817390092317859,0.0027093072093766,0.668,0.21033864916111056
2014-01-22,11.798616825901808,0.0033730553112772,0.571,0.22120037429306466
2014-01-23,0.0,0.0024713730925695,0.522,0.23841903406997317
2014-01-24,2.651171700475442,0.0029947107302777,0.534,0.2517034714091636
2014-01-25,0.0,0.0027396758889504,0.472,0.2535308357007117
2014-01-26,1.31836486971795,0.0017403776344564,0.408,0.2566735444905993
2014-01-27,0.0,0.0018732786985095,0.36,0.2561484192474925
2014-01-28,0.0,0.0022325380070442,0.335,0.25562984370589
2014-01-29,0.0,0.0025016016711129,0.324,0.25244146303945486
2014-01-30,0.0,0.0023572232699743,0.47,0.24929284991786782
2014-01-31,0.0,0.0023838204575474,0.772,0.2461835083346013
2014-02-01,0.0,0.0022728141063769,0.912,0.24311294846964157
2014-02-02,0.0,0.0020867223022629,0.914,0.24008068661232698
2014-02-03,0.0,0.0021230017635685,0.85,0.2370862450851479
2014-02-04,10.089308806595144,0.0027381172173262,0.774,0.24475058277264464
2014-02-05,0.0,0.0015825179149086,0.686,0.2629407564899246
2014-02-06,0.0,0.0015772943310711,0.633,0.2809040506012716
2014-02-07,0.0,0.001988736524436,0.576,0.2774004336875482
2014-02-08,0.0,0.0021114441796365,0.525,0.27394051614893833
2014-02-09,0.0,0.0020534687400377,0.474,0.27052375293858544
